<?php
	$address = $_SERVER['REMOTE_ADDR'];
	exec("bash pushbullet.sh $address");
?>
state,name,latitude,longitude,type,miles to nearest pinkberry,pinkberry latitude,pinkberry longitude
Colorado,Denver Women's Correctional Facility,39.765212,-104.8628947,women,6.19691575589,39.69837951660156,-104.94062042236328
Military,"Naval Consolidated Brig, Miramar",32.8799755,-117.1519883,women,7.71611066566,32.76877975463867,-117.1675796508789
Nevada,Florence McClure Women's Correctional Center,36.2572952,-115.0767597,women,11.2459750972,36.11406326293945,-115.17301177978516
California,San Quentin State Prison,37.9386291,-122.4898472,men,11.3970070509,37.786834716796875,-122.40746307373047
California,San Quentin State Prison,37.9386291,-122.4898472,execution chamber,11.3970070509,37.786834716796875,-122.40746307373047
Utah,Utah State Prison,40.491667,-111.9021887,men,20.8842094949,40.78825378417969,-111.98140716552734
Utah,Utah State Prison,40.491667,-111.9021887,execution chamber,20.8842094949,40.78825378417969,-111.98140716552734
Civilian Federal,"Federal Medical Center, Carswell",32.7812378,-97.4198089,women,21.2348963521,32.66515350341797,-97.08211517333984
Delaware,Delores J. Baylor Women's Correctional Institution,39.7033341,-75.581426,women,21.4160975209,39.87644958496094,-75.24742889404297
Pennsylvania,SCI Graterford,40.232901,-75.4332313,men,26.4927305162,39.87644958496094,-75.24742889404297
Georgia,Georgia Diagnostic and Classification Prison,33.2210304,-84.0610581,men,36.4627331247,33.64122772216797,-84.44448852539062
Georgia,Georgia Diagnostic and Classification State Prison,33.2210304,-84.0610581,execution chamber,36.4627331247,33.64122772216797,-84.44448852539062
Indiana,Indiana State Prison,41.703632,-86.9177937,men,38.9504502575,41.8937787,-87.6279259
Indiana,Indiana State Prison,41.703632,-86.9177937,execution chamber,38.9504502575,41.8937787,-87.6279259
Pennsylvania,SCI Greene,39.9060068,-80.1368517,men,41.1978997134,40.49599838256836,-80.2566909790039
Delaware,James T. Vaughn Correctional Center,39.3326709,-75.5989408,men,41.9433100003,39.87644958496094,-75.24742889404297
Delaware,James T. Vaughn Correctional Center,39.3326709,-75.5989408,execution chamber,41.9433100003,39.87644958496094,-75.24742889404297
New Hampshire,New Hampshire State Prison for Women,43.0102068,-71.5390339,women,44.3644958643,42.5853157043457,-70.88420104980469
Ohio,Ohio State Penitentiary,41.1109262,-80.5768441,men,45.6319391291,40.49599838256836,-80.2566909790039
Georgia,Arrendale State Prison,34.4491214,-83.5936869,women,47.0849866088,34.07003402709961,-84.27811431884766
New Hampshire,New Hampshire State Prison for Men,43.2278,-71.5571994,men,55.9742883537,42.5853157043457,-70.88420104980469
New Hampshire,New Hampshire State Prison for Men,43.2271941,-71.5583859,execution chamber,55.9780305264,42.5853157043457,-70.88420104980469
Louisiana,Louisiana Correctional Institute for Women,30.2603498,-91.0724282,women,56.9808169014,29.962520599365234,-90.18475341796875
Arizona,Arizona State Prison Complex,33.0337123,-111.3356686,men,59.5321744277,32.23300552368164,-110.95227813720703
Arizona,"Arizona State Prison Complex, Florence",33.0308319,-111.3712392,execution chamber,60.1603023474,32.23300552368164,-110.95227813720703
Texas,Huntsville Unit,30.7217818,-95.5465364,execution chamber,67.3298566606,29.747112274169922,-95.4616470336914
Texas,Polunsky Unit,30.6984603,-95.0147286,men,70.6777618227,29.742130279541016,-95.4428482055664
South Carolina,Broad River Correctional Institution,34.0742393,-81.0979105,execution chamber,79.7038879372,35.22351837158203,-80.94416809082031
South Carolina,Camille Griffin Graham Correctional Institution,34.0663665,-81.1168515,women,80.3682204212,35.22351837158203,-80.94416809082031
Florida,Lowell Correctional Institution Annex,29.3110998,-82.1983391,women,81.151107638,28.43108558654785,-81.30807495117188
Nevada,Nevada State Prison,39.1603561,-119.7367767,execution chamber,82.4619462469,38.64870834350586,-121.11951446533203
Texas,Mountain View Unit,31.4855155,-97.7292681,women,83.4326233759,30.27591323852539,-97.79913330078125
Florida,Union Correctional Institution,30.0672044,-82.191526,men,84.7155212354,30.84855842590332,-83.28778076171875
Florida,Florida State Prison,30.0597532,-82.1840063,men,85.3901295549,30.84855842590332,-83.28778076171875
Florida,Florida State Prison,30.0597532,-82.1840063,execution chamber,85.3901295549,30.84855842590332,-83.28778076171875
Colorado,Colorado State Penitentiary,38.4406242,-105.1580644,execution chamber,87.5475754793,39.69837951660156,-104.94062042236328
Virginia,Fluvanna Correctional Center for Women,37.9846196,-78.2700573,women,88.9624653815,38.84492874145508,-77.04865264892578
California,Central California Women’s Facility,37.0897014,-120.1499662,women,95.9123440524,37.25065612792969,-121.87630462646484
Louisiana,Louisiana State Penitentiary,30.9554369,-91.5939039,men,98.0492541112,30.390981674194336,-90.08226013183594
Louisiana,Louisiana State Penitentiary,30.9554369,-91.5939039,execution chamber,98.0492541112,30.390981674194336,-90.08226013183594
Utah,Central Utah Correctional Facility,39.1656841,-111.8104276,women,112.313880392,40.78825378417969,-111.98140716552734
Colorado,Sterling Correctional Facility,40.6112647,-103.1622541,men,113.270707264,39.69837951660156,-104.94062042236328
Arizona,"Arizona State Prison Complex, Perryville",33.4707001,-112.4357557,women,121.323508047,32.23300552368164,-110.95227813720703
Pennsylvania,SCI Muncy,41.2025199,-76.8254935,women,123.5790449,39.87644958496094,-75.24742889404297
Virginia,Sussex I State Prison,37.0465644,-77.1992325,men,124.304388494,38.84492874145508,-77.04865264892578
Alabama,Julia Tutwiler Prison for Women,32.5628873,-86.1961447,women,125.872893214,33.64122772216797,-84.44448852539062
Mississippi,Central Mississippi Correctional Facility,32.2295155,-90.0588849,women,126.672306534,30.390981674194336,-90.08226013183594
Pennsylvania,SCI Rockview,40.8593854,-77.7779673,execution chamber,129.989329008,39.17970657348633,-76.66779327392578
North Carolina,Central Prison,35.7775454,-78.6554932,men,134.557588381,35.22351837158203,-80.94416809082031
North Carolina,Central Prison,35.7775454,-78.6554932,execution chamber,134.557588381,35.22351837158203,-80.94416809082031
North Carolina,North Carolina Correctional Institution for Women,35.765434,-78.6208449,women,136.209660876,35.22351837158203,-80.94416809082031
Ohio,Ohio Reformatory for Women,40.2242328,-83.3932216,women,136.54414666,42.200111389160156,-83.25421905517578
Tennessee,Nashville and Morgan County Correctional Complex,36.1101171,-84.5411789,men,141.423331219,34.07003402709961,-84.27811431884766
Virginia,Greensville Correctional Center,36.79874,-77.4863897,execution chamber,143.138334827,38.84492874145508,-77.04865264892578
Idaho,Pocatello Women's Correctional Center,42.8426481,-112.4505507,women,143.8384064,40.78825378417969,-111.98140716552734
Ohio,Franklin Medical Center,39.9205688,-83.0148401,men,151.203060279,40.49599838256836,-80.2566909790039
South Carolina,Lieber Correctional Institution,33.0858822,-80.2906131,men,152.021691144,35.22351837158203,-80.94416809082031
Oklahoma,Oklahoma State Penitentiary,34.952923,-95.7825084,men,153.494396001,32.89570236206055,-96.80583190917969
Oklahoma,Oklahoma State Penitentiary,34.952923,-95.7825084,execution chamber,153.494396001,32.89570236206055,-96.80583190917969
Alabama,Atmore and William E. Donaldson Correctional Facility,33.5140537,-87.1847963,men,158.320420545,33.64122772216797,-84.44448852539062
Indiana,Indiana Women's Prison,39.8009792,-86.2901658,women,160.519434861,41.8937787,-87.6279259
Alabama,Holman Correctional Facility,31.1342789,-87.4499917,men,164.747445538,30.390981674194336,-90.08226013183594
Alabama,Holman Correctional Facility,31.1342789,-87.4499917,execution chamber,164.747445538,30.390981674194336,-90.08226013183594
Ohio,Chillicothe Correctional Institution,39.3688872,-83.0015814,men,165.2216694,40.49599838256836,-80.2566909790039
Civilian Federal,"United States Penitentiary, Terre Haute",39.416124,-87.4512972,execution chamber,171.213739256,41.8937787,-87.6279259
Military,"United States Penitentiary, Terre Haute",39.416124,-87.4512972,execution chamber,171.213739256,41.8937787,-87.6279259
Civilian Federal,"United States Penitentiary, Terre Haute",39.4074936,-87.4540901,men,171.800417737,41.8937787,-87.6279259
Oklahoma,Mabel Bassett Correctional Center,35.4443761,-97.130978,women,176.654193676,32.89570236206055,-96.80583190917969
Ohio,Southern Ohio Correctional Facility,38.8768458,-82.9679121,execution chamber,178.227366981,37.138118743896484,-80.55148315429688
Nevada,Ely State Prison,39.2591798,-114.8689978,men,185.965333656,40.78825378417969,-111.98140716552734
Wyoming,Wyoming State Penitentiary,41.7653275,-107.2157384,men,186.004286077,39.69837951660156,-104.94062042236328
Wyoming,Wyoming State Penitentiary,41.7653275,-107.2157384,execution chamber,186.004286077,39.69837951660156,-104.94062042236328
South Dakota,South Dakota State Penitentiary,43.5667657,-96.7249956,men,196.33775618,44.930294036865234,-93.25279998779297
South Dakota,South Dakota State Penitentiary,43.5667657,-96.7249956,execution chamber,196.33775618,44.930294036865234,-93.25279998779297
Tennessee,Tennessee Prison for Women,36.1928801,-86.8613002,women,206.907078974,34.07003402709961,-84.27811431884766
Tennessee,Riverbend Maximum Security Institution,36.1862639,-86.9021902,men,208.234716629,34.07003402709961,-84.27811431884766
Tennessee,Riverbend Maximum Security Institution,36.1862639,-86.9021902,execution chamber,208.234716629,34.07003402709961,-84.27811431884766
Wyoming,Wyoming Women's Center,42.7678192,-104.4670843,women,213.248008535,39.69837951660156,-104.94062042236328
Mississippi,Mississippi State Penitentiary,33.917889,-90.5139918,men,244.329979401,30.390981674194336,-90.08226013183594
Mississippi,Mississippi State Penitentiary,33.917889,-90.5139918,execution chamber,244.329979401,30.390981674194336,-90.08226013183594
Arkansas,Varner Unit,34.0418458,-91.607491,men,266.943437711,30.390981674194336,-90.08226013183594
Arkansas,Cummins Unit,34.0639819,-91.6140339,execution chamber,268.505682596,30.390981674194336,-90.08226013183594
Missouri,"Women's Eastern Reception, Diagnostic and Correctional Center",39.3178793,-91.4768778,women,269.321596793,41.8937787,-87.6279259
New Mexico,New Mexico Women's Correctional Facility,35.1405537,-107.8171797,women,269.748063253,32.23300552368164,-110.95227813720703
Kentucky,Kentucky Correctional Institute for Women,38.2830123,-85.4580137,women,274.355853505,41.8937787,-87.6279259
Idaho,Idaho Maximum Security Institution,43.4790447,-116.2239147,men,286.275113513,40.78825378417969,-111.98140716552734
Idaho,Idaho Maximum Security Institution,43.4790447,-116.2239147,execution chamber,286.275113513,40.78825378417969,-111.98140716552734
New Mexico,Penitentiary of New Mexico,35.5681714,-106.0686352,men,291.476596501,39.69837951660156,-104.94062042236328
New Mexico,Penitentiary of New Mexico,35.5681714,-106.0686352,execution chamber,291.476596501,39.69837951660156,-104.94062042236328
Kentucky,Kentucky State Penitentiary,37.0487195,-88.0779765,men,296.58592532,34.07003402709961,-84.27811431884766
Kentucky,Kentucky State Penitentiary,37.0487195,-88.0779765,execution chamber,296.58592532,34.07003402709961,-84.27811431884766
Missouri,"Eastern Reception, Diagnostic and Correctional Center",37.9214937,-90.5141889,execution chamber,313.997691038,41.8937787,-87.6279259
Missouri,Potosi Correctional Center,37.9360578,-90.7362097,men,319.047586515,41.8937787,-87.6279259
Nebraska,Nebraska State Penitentiary,40.7706352,-96.7017129,execution chamber,336.269657725,44.930294036865234,-93.25279998779297
Kansas,El Dorado Correctional Facility,37.8046348,-96.8183136,men,338.419656661,32.89570236206055,-96.80583190917969
Nebraska,Tecumseh State Correctional Institution,40.4022927,-96.1852683,men,346.349806968,44.930294036865234,-93.25279998779297
South Dakota,South Dakota Women's Prison,44.3578376,-100.3082027,women,349.925295229,44.930294036865234,-93.25279998779297
Nebraska,Nebraska Correctional Center for Women,40.8642894,-97.6284276,women,357.778464436,44.930294036865234,-93.25279998779297
Arkansas,McPherson Unit,35.6256219,-91.1936772,women,366.453189759,30.390981674194336,-90.08226013183594
Montana,Montana Women's Prison,45.7750946,-108.4954161,women,386.456831916,40.78825378417969,-111.98140716552734
Montana,Montana State Prison,46.3829904,-112.8011047,men,388.421385582,40.78825378417969,-111.98140716552734
Montana,Montana State Prison,46.3829904,-112.8011047,execution chamber,388.421385582,40.78825378417969,-111.98140716552734
Military,United States Disciplinary Barracks,39.3776703,-94.9352109,men,392.83336647,44.930294036865234,-93.25279998779297
Kansas,Lansing Correctional Facility,39.2503663,-94.8923235,execution chamber,400.955272084,44.930294036865234,-93.25279998779297
Kansas,Topeka Correctional Facility,39.0402197,-95.6241094,women,424.407115901,44.930294036865234,-93.25279998779297
Oregon,Oregon State Penitentiary,44.9316575,-123.0079108,men,434.430003597,38.77225875854492,-121.269287109375
Oregon,Oregon State Penitentiary,44.9316575,-123.0079108,execution chamber,434.430003597,38.77225875854492,-121.269287109375
Oregon,Coffee Creek Correctional Facility,45.3413551,-122.790005,women,460.06157145,38.77225875854492,-121.269287109375
Washington,Washington State Penitentiary,46.0783565,-118.3590148,men,485.799149006,40.78825378417969,-111.98140716552734
Washington,Washington State Penitentiary,46.0783565,-118.3590148,execution chamber,485.799149006,40.78825378417969,-111.98140716552734
Washington,Washington Corrections Center for Women,47.3474014,-122.6131402,women,595.816858087,38.77225875854492,-121.269287109375
